gene	cod_len	tot_score	avg_score
YIL118W	232	237.990820363	1.02582250156
YBR273C	437	493.681174132	1.12970520396
YBR121C-A	53	55.0897204759	1.03942868823
YHR020W	689	672.309826306	0.975776235568
YNL061W	619	649.138283827	1.04868866531
YER012W	199	207.429200358	1.04235779074
YOL040C	143	128.523025195	0.898762413953
YER063W	219	222.515807291	1.01605391457
YMR140W	490	529.907274781	1.08144341792
YPR074C	681	637.732407408	0.936464621745
YOR302W	26	25.4068696505	0.977187294251
YIL096C	337	346.403846805	1.02790458993
YDR278C	106	109.07410708	1.02900101019
YIL083C	366	366.742148121	1.00202772711
YDR234W	694	699.487033729	1.00790638866
YGL096W	277	293.408624597	1.0592369119
YBL006C	181	203.935346938	1.12671462396
YCR076C	251	294.262563796	1.17236081194
YOR296W	1290	1372.38729293	1.06386611855
YJL103C	619	646.498769499	1.04442450646
YGL110C	625	667.724873009	1.06835979681
YJR087W	117	102.792989034	0.87857255585
YKR028W	1099	1167.01149351	1.06188488945
YLR300W	449	449.198433354	1.00044194511
YIL068C	806	859.466814769	1.06633599847
YDR415C	375	391.080078886	1.04288021036
YDR159W	1302	1344.16091438	1.03238165467
YDR307W	663	677.469491167	1.02182427024
YDL011C	108	91.0840274001	0.843370624075
YMR062C	442	442.173814239	1.00039324488
YKL123W	127	146.580338913	1.15417589696
YBL097W	755	864.230386214	1.14467600823
YDR169C	514	538.494474739	1.04765462011
YNL149C	130	157.238163291	1.20952433301
YGL112C	517	535.570931457	1.03592056375
YPL262W	489	465.9220915	0.952805913089
YJL109C	1770	1716.93966256	0.970022408223
YER180C	268	291.195907568	1.08655189391
YPL256C	546	526.782738113	0.964803549658
YOR210W	71	75.301021846	1.06057777248
YGL095C	578	588.620982691	1.01837540258
YLR461W	121	100.217202346	0.828241341704
YNR033W	788	852.922549543	1.08238902226
YGR140W	957	1008.7083467	1.05403171024
YER065C	558	569.768962454	1.02109133056
YEL041W	496	540.621293977	1.08996228624
YLR033W	503	529.68374	1.05304918489
YIL110W	378	388.925715928	1.02890401039
YNR015W	385	409.886083259	1.0646391773
YPL033C	282	289.403518948	1.02625361329
YLL001W	758	768.243700131	1.01351411627
YBR129C	329	363.119182491	1.10370572186
YJR031C	1409	1441.4218158	1.02301051512
YOR097C	176	202.576257	1.15100146023
YDR330W	501	527.022181305	1.05194048165
YKR053C	405	432.986071283	1.06910141057
YGL225W	338	287.61440164	0.850930182366
YGR165W	346	368.607133739	1.06533853682
YDR389W	655	702.834559338	1.07302986158
YLR270W	351	346.69673905	0.987739997294
YML007W	651	682.590955742	1.04852681374
